EC,KO1,KO2,KO3,KO4,KO5,KO6,KO7,KO8,WT1,WT2,WT3,WT4,WT5,WT6,WT7,WT8
2.7.1.107,28,710,578,74,378,539,11,55,19,336,664,21,102,1,135,601
2.7.1.11,4858,24854,12442,13415,9341,27098,14746,12085,9971,10637,17937,13402,15806,3326,14574,18975
2.7.1.113,13,321,22,86,126,257,37,12,53,172,146,72,238,2,13,193
2.7.1.130,222,342,34,75,68,167,56,36,40,100,37,39,184,184,61,83
2.7.1.148,29,86,199,97,44,49,74,33,52,97,167,83,57,35,104,136
2.7.1.15,29,39,31,99,74,120,42,140,40,45,85,291,101,25,57,151
2.7.1.16,0,6,96,11,0,0,0,0,0,0,0,42,0,0,18,0
2.7.1.162,636,3558,795,1187,3154,1347,775,617,641,795,1797,1302,776,227,372,850
2.7.1.165,26,28,49,62,10,43,17,48,65,26,26,32,23,1,53,52
2.7.1.167,0,38,0,0,0,12,5,4,0,0,0,0,0,0,0,0
2.7.1.168,17,7,19,30,3,8,4,3,2,3,2,5,1,0,15,14
2.7.1.17,1745,3821,2644,4043,4136,2128,986,1778,1137,1314,3335,2794,1193,819,2918,3008
2.7.1.170,0,0,25,0,0,0,12,0,0,0,11,23,0,0,0,23
2.7.1.176,5,30,4,12,19,66,0,115,9,0,506,20,16,1,71,115
2.7.1.2,1167,8315,1265,2564,3245,2045,1053,1291,1337,2600,5191,2189,2086,718,1546,4084
2.7.1.21,63,427,191,348,80,341,56,60,136,83,289,106,319,33,151,191
2.7.1.23,159,167,141,113,43,120,91,103,184,53,226,80,543,25,225,126
2.7.1.24,9,4,3,18,38,80,0,5,8,24,50,8,38,21,17,21
2.7.1.25,51,434,436,691,128,1483,22,114,11,617,99,565,32,25,16,19
2.7.1.26,24,76,44,18,81,90,29,86,16,5,30,14,40,139,614,923
2.7.1.28,52,31,73,3,0,46,21,0,15,9,49,64,64,13,3,47
2.7.1.29,52,31,73,3,0,46,21,0,15,9,49,64,64,13,3,47
2.7.1.30,5641,3519,5777,6493,11662,4373,6363,7199,9379,3455,7182,9147,13327,23441,10478,7221
2.7.1.31,0,106,52,71,30,17,20,24,56,107,399,78,155,23,39,31
2.7.1.33,29,235,92,53,845,106,877,548,65,83,1211,41,136,61,482,205
2.7.1.35,0,29,2,13,564,12,0,248,8,12,7,5,3,13,9,21
2.7.1.39,0,4,0,0,7,1,69,0,0,0,0,0,0,5,0,0
2.7.1.4,181,363,124,373,387,197,63,84,348,56,405,293,126,15,374,539
2.7.1.40,2145,5031,4407,2478,18010,4469,45665,13990,1288,2726,2671,7681,16212,6608,17537,5554
2.7.1.45,129,660,216,640,1916,425,2399,615,200,1176,1050,288,553,750,689,685
2.7.1.48,169,319,480,198,209,683,187,600,1398,181,428,2625,1617,23,808,193
2.7.1.49,131,147,107,282,17,76,201,83,303,443,1068,859,952,12,324,120
2.7.1.5,78,1114,47,693,239,253,112,98,384,940,2474,434,233,132,207,629
2.7.1.50,26,39,44,56,3,10,110,24,20,0,3,17,17,1,6,13
2.7.1.52,17,98,15,27,361,116,8,42,862,1703,889,156,1214,429,455,1163
2.7.1.56,0,1,0,0,11,1,0,0,0,5,0,38,11,0,9,0
2.7.1.6,894,8258,1619,3096,1929,8218,25820,2457,709,2059,5848,2813,6472,1006,1724,2299
2.7.1.63,0,5,0,0,27,0,224,65,0,0,0,0,12,24,6,0
2.7.1.68,0,22,4,27,9,18,5,6,1,11,3,3,5,2,3,2
2.7.1.69,5747,18517,7926,30916,1993,35972,41555,52440,42409,37051,51139,51933,25960,14231,23077,73561
2.7.1.71,36,114,46,253,35,81,97,101,56,35,63,37,19,13,28,55
2.7.1.76,41,495,22,88,0,0,0,0,191,98,86,418,401,0,0,23
2.7.1.90,371,1980,620,549,7007,1230,5982,6805,556,746,1715,1564,10318,10822,5477,1836
2.7.1.92,113,678,123,179,186,197,33,73,92,7,108,262,187,23,126,437
2.7.10.-,121,1954,39,513,149,1424,217,145,82,210,434,117,490,14,109,271
2.7.11.-,722,1468,1752,1170,410,398,1480,1451,290,418,593,2936,19636,227539,47749,1045
2.7.11.1,674,737,2803,2070,1008,1655,2356,2064,2284,1617,2284,2392,1279,96,1444,3288
